,pnl,exit_time,entry_time,exit_reason,window_start
0,0.01898,2024-08-19 23:00:00,2024-08-19 00:00:00,take_profit,2024-08-16 20:00:00
1,0.018980000000000018,2024-08-29 11:00:00,2024-08-27 15:00:00,take_profit,2024-08-16 20:00:00
2,0.018980000000000028,2024-09-02 20:00:00,2024-09-01 05:00:00,take_profit,2024-08-16 20:00:00
3,0.01898,2024-09-04 15:00:00,2024-09-04 02:00:00,take_profit,2024-08-16 20:00:00
4,0.01897999999999987,2024-09-07 05:00:00,2024-09-06 19:00:00,take_profit,2024-08-16 20:00:00
0,0.01898,2024-09-17 14:00:00,2024-09-16 04:00:00,take_profit,2024-09-15 20:00:00
1,0.018980000000000018,2024-10-07 00:00:00,2024-09-30 02:00:00,take_profit,2024-09-15 20:00:00
2,0.018979999999999903,2024-10-11 09:00:00,2024-10-09 21:00:00,take_profit,2024-09-15 20:00:00
3,0.018979999999999934,2024-10-14 03:00:00,2024-10-13 15:00:00,take_profit,2024-09-15 20:00:00
0,0.018979999999999903,2024-10-24 13:00:00,2024-10-21 14:00:00,take_profit,2024-10-15 20:00:00
1,0.018979999999999903,2024-11-01 14:00:00,2024-10-31 15:00:00,take_profit,2024-10-15 20:00:00
2,0.01898,2024-11-04 03:00:00,2024-11-03 03:00:00,take_profit,2024-10-15 20:00:00
0,0.01898,2024-11-25 09:00:00,2024-11-24 13:00:00,take_profit,2024-11-14 20:00:00
1,0.01897999999999998,2024-11-27 15:00:00,2024-11-25 15:00:00,take_profit,2024-11-14 20:00:00
2,0.018979999999999934,2024-12-06 01:00:00,2024-12-05 23:00:00,take_profit,2024-11-14 20:00:00
0,0.018980000000000018,2025-01-06 15:00:00,2024-12-18 05:00:00,take_profit,2024-12-14 20:00:00
0,0.01898,2025-01-20 06:00:00,2025-01-20 00:00:00,take_profit,2025-01-13 20:00:00
1,0.01898,2025-01-23 14:00:00,2025-01-23 05:00:00,take_profit,2025-01-13 20:00:00
2,0.01897999999999998,2025-01-27 14:00:00,2025-01-27 00:00:00,take_profit,2025-01-13 20:00:00
3,0.018980000000000077,2025-01-29 06:00:00,2025-01-28 22:00:00,take_profit,2025-01-13 20:00:00
4,0.018980000000000018,2025-02-03 15:00:00,2025-01-31 21:00:00,take_profit,2025-01-13 20:00:00
5,0.01897999999999987,2025-02-10 05:00:00,2025-02-09 14:00:00,take_profit,2025-01-13 20:00:00
6,0.018980000000000153,2025-02-12 16:00:00,2025-02-11 18:00:00,take_profit,2025-01-13 20:00:00
0,0.023975000000000003,2025-03-02 17:00:00,2025-02-21 20:00:00,take_profit,2025-02-12 20:00:00
1,0.023974999999999934,2025-03-04 18:00:00,2025-03-03 20:00:00,take_profit,2025-02-12 20:00:00
2,0.023974999999999882,2025-03-11 18:00:00,2025-03-09 11:00:00,take_profit,2025-02-12 20:00:00
3,0.023975000000000014,2025-03-14 08:00:00,2025-03-13 17:00:00,take_profit,2025-02-12 20:00:00
0,0.023974999999999948,2025-03-16 16:00:00,2025-03-16 12:00:00,take_profit,2025-03-14 20:00:00
1,0.023974999999999805,2025-03-19 08:00:00,2025-03-18 14:00:00,take_profit,2025-03-14 20:00:00
2,0.023974999999999934,2025-04-02 13:00:00,2025-03-28 07:00:00,take_profit,2025-03-14 20:00:00
3,0.023974999999999882,2025-04-07 14:00:00,2025-04-06 14:00:00,take_profit,2025-03-14 20:00:00
4,0.023974999999999882,2025-04-09 07:00:00,2025-04-09 03:00:00,take_profit,2025-03-14 20:00:00
0,0.023974999999999882,2025-04-21 00:00:00,2025-04-15 20:00:00,take_profit,2025-04-13 20:00:00
1,0.023974999999999805,2025-04-28 11:00:00,2025-04-28 02:00:00,take_profit,2025-04-13 20:00:00
2,0.023974999999999805,2025-05-01 09:00:00,2025-04-30 14:00:00,take_profit,2025-04-13 20:00:00
3,0.023974999999999882,2025-05-06 23:00:00,2025-05-05 00:00:00,take_profit,2025-04-13 20:00:00
0,0.023974999999999795,2025-05-18 14:00:00,2025-05-14 04:00:00,take_profit,2025-05-13 20:00:00
1,0.023974999999999882,2025-06-08 21:00:00,2025-05-23 13:00:00,take_profit,2025-05-13 20:00:00
