,pnl,exit_time,entry_time,exit_reason,window_start,symbol
0,0.023974999999999882,2025-02-19 23:00:00,2025-02-18 17:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
1,-0.1508499999999999,2025-02-28 07:00:00,2025-02-21 18:00:00,stop_loss,2025-02-17 20:00:00,BTC/USDT
2,0.023974999999999948,2025-03-02 16:00:00,2025-03-02 15:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
3,0.023975000000000003,2025-03-04 19:00:00,2025-03-03 15:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
4,0.023974999999999805,2025-03-06 22:00:00,2025-03-06 19:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
5,0.023974999999999948,2025-03-07 02:00:00,2025-03-07 01:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
6,0.023974999999999882,2025-03-10 09:00:00,2025-03-09 10:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
7,0.023974999999999812,2025-03-11 04:00:00,2025-03-10 15:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
8,0.023974999999999917,2025-03-14 09:00:00,2025-03-13 14:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
9,0.023974999999999795,2025-03-19 15:00:00,2025-03-16 11:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
10,0.023974999999999805,2025-03-23 23:00:00,2025-03-20 17:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
11,0.023974999999999934,2025-04-02 15:00:00,2025-03-25 04:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
12,0.02397500000000004,2025-04-04 07:00:00,2025-04-02 23:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
13,0.02397500000000012,2025-04-09 17:00:00,2025-04-05 14:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
14,0.023974999999999948,2025-04-11 02:00:00,2025-04-10 16:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
15,0.023974999999999948,2025-04-14 14:00:00,2025-04-13 14:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
16,0.023974999999999882,2025-04-21 00:00:00,2025-04-15 19:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
17,0.023974999999999882,2025-04-25 11:00:00,2025-04-24 06:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
18,0.023974999999999805,2025-05-01 10:00:00,2025-04-28 01:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
19,0.023974999999999917,2025-05-07 00:00:00,2025-05-04 00:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
20,0.023975000000000014,2025-05-18 14:00:00,2025-05-12 15:00:00,take_profit,2025-02-17 20:00:00,BTC/USDT
0,0.023974999999999795,2025-05-27 13:00:00,2025-05-23 12:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
1,0.023975000000000003,2025-06-08 13:00:00,2025-05-28 14:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
2,0.023974999999999934,2025-06-16 22:00:00,2025-06-11 19:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
3,0.023974999999999882,2025-06-20 08:00:00,2025-06-17 16:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
4,0.023974999999999812,2025-06-23 18:00:00,2025-06-21 19:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
5,0.023974999999999882,2025-07-02 16:00:00,2025-06-26 14:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
6,0.023974999999999805,2025-07-09 19:00:00,2025-07-04 14:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
7,0.023974999999999805,2025-07-14 03:00:00,2025-07-12 16:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
8,0.023974999999999753,2025-07-16 15:00:00,2025-07-15 04:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
9,0.023974999999999795,2025-07-27 16:00:00,2025-07-18 16:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
10,0.023974999999999934,2025-08-10 04:00:00,2025-07-28 14:00:00,take_profit,2025-05-18 20:00:00,BTC/USDT
0,0.023974999999999934,2025-08-22 15:00:00,2025-08-18 02:00:00,take_profit,2025-08-16 20:00:00,BTC/USDT
1,0.023975000000000055,2025-09-05 07:00:00,2025-08-24 20:00:00,take_profit,2025-08-16 20:00:00,BTC/USDT
2,0.023974999999999948,2025-09-09 06:00:00,2025-09-06 17:00:00,take_profit,2025-08-16 20:00:00,BTC/USDT
3,0.023974999999999948,2025-09-10 13:00:00,2025-09-09 16:00:00,take_profit,2025-08-16 20:00:00,BTC/USDT
4,0.023974999999999882,2025-09-18 03:00:00,2025-09-13 17:00:00,take_profit,2025-08-16 20:00:00,BTC/USDT
5,0.023974999999999882,2025-09-30 00:00:00,2025-09-19 07:00:00,take_profit,2025-08-16 20:00:00,BTC/USDT
