,exit_time,pnl,exit_reason,symbol,window_start
0,2024-02-19,-0.0064201148257095235,Time Exit,BTC/USDT,2023-12-27
1,2024-02-26,0.07365688500922749,Time Exit,BTC/USDT,2023-12-27
2,2024-03-04,0.09395712999714877,Time Exit,BTC/USDT,2023-12-27
3,2024-03-11,0.05828084986550356,Time Exit,BTC/USDT,2023-12-27
4,2024-03-16,-0.060403553014857864,Stop Loss,BTC/USDT,2023-12-27
5,2024-05-27,0.012794510681047064,Time Exit,BTC/USDT,2024-03-26
6,2024-06-03,0.01884491823510349,Time Exit,BTC/USDT,2024-03-26
7,2024-06-10,0.0026190235957161178,Time Exit,BTC/USDT,2024-03-26
8,2024-06-17,0.006547576684933589,Time Exit,BTC/USDT,2024-03-26
9,2025-05-19,-0.0034901329799819814,Time Exit,ETH/USDT,2025-03-21
10,2025-05-26,0.014667041526259297,Time Exit,ETH/USDT,2025-03-21
11,2025-06-02,0.03037993698683203,Time Exit,ETH/USDT,2025-03-21
12,2025-06-09,0.08230655495317882,Time Exit,ETH/USDT,2025-03-21
13,2025-06-16,-0.013564305357842532,Time Exit,ETH/USDT,2025-03-21
14,2025-08-11,0.052945211459073896,Time Exit,ETH/USDT,2025-06-19
15,2025-08-18,-0.028268081385390723,Time Exit,ETH/USDT,2025-06-19
16,2025-08-25,-0.09442754902833528,Time Exit,ETH/USDT,2025-06-19
17,2025-09-01,-0.010473426404964757,Time Exit,ETH/USDT,2025-06-19
18,2025-09-08,-0.00040179203894374514,Time Exit,ETH/USDT,2025-06-19
19,2025-09-15,-0.040181878777200614,Time Exit,ETH/USDT,2025-06-19
