,exit_time,pnl,symbol,window_start
75,2022-07-20,-0.06624382572398599,SOL/USDT,2022-06-30
0,2022-07-21,-0.013311148111527784,BTC/USDT,2022-06-30
44,2022-07-21,0.019036975597469787,ETH/USDT,2022-06-30
76,2022-07-22,-0.06371304918695306,SOL/USDT,2022-06-30
45,2022-07-29,0.049777718750111735,ETH/USDT,2022-06-30
1,2022-09-21,-0.02520102354024352,BTC/USDT,2022-08-29
2,2022-09-23,-0.008758357022634316,BTC/USDT,2022-08-29
3,2022-10-27,0.007813226094625203,BTC/USDT,2022-09-28
46,2023-01-17,-0.01013784436359888,ETH/USDT,2022-12-27
4,2023-01-19,-0.008656846124854317,BTC/USDT,2022-12-27
47,2023-01-19,0.02307206617919339,ETH/USDT,2022-12-27
48,2023-01-21,-0.02189500002772963,ETH/USDT,2022-12-27
5,2023-01-22,-0.00108132959485266,BTC/USDT,2022-12-27
77,2023-02-15,0.08969087003855292,SOL/USDT,2023-01-26
49,2023-02-18,0.00693733132539124,ETH/USDT,2023-01-26
6,2023-02-18,0.009494361978897336,BTC/USDT,2023-01-26
78,2023-02-21,0.0022265303199597783,SOL/USDT,2023-01-26
7,2023-02-22,-0.030279677296373528,BTC/USDT,2023-01-26
79,2023-02-23,-0.01276351687244203,SOL/USDT,2023-01-26
8,2023-02-24,-0.034444269982299415,BTC/USDT,2023-01-26
9,2023-03-18,-0.02040053023225672,BTC/USDT,2023-02-25
50,2023-03-18,-0.02013468694941522,ETH/USDT,2023-02-25
80,2023-03-21,0.015291103634397457,SOL/USDT,2023-02-25
81,2023-04-18,0.006710687441879165,SOL/USDT,2023-03-27
10,2023-06-17,0.00355959836032762,BTC/USDT,2023-05-26
11,2023-06-22,0.05294951839674133,BTC/USDT,2023-05-26
51,2023-06-22,0.041609365731540435,ETH/USDT,2023-05-26
12,2023-06-24,-0.007858291102183099,BTC/USDT,2023-05-26
52,2023-07-15,-0.00626927286495416,ETH/USDT,2023-06-25
13,2023-07-15,-0.0035563228121779145,BTC/USDT,2023-06-25
82,2023-07-16,0.02445657742954447,SOL/USDT,2023-06-25
14,2023-09-15,0.02660455298714716,BTC/USDT,2023-08-24
83,2023-09-19,0.016901620083605053,SOL/USDT,2023-08-24
53,2023-09-19,0.0011909116665449917,ETH/USDT,2023-08-24
15,2023-09-21,-0.010367361146249972,BTC/USDT,2023-08-24
54,2023-10-17,-0.024633680242477682,ETH/USDT,2023-09-23
16,2023-10-17,-0.006660259368662871,BTC/USDT,2023-09-23
84,2023-10-18,-0.025158219448791215,SOL/USDT,2023-09-23
55,2023-10-21,0.012673289084756676,ETH/USDT,2023-09-23
17,2023-10-21,0.005167384936919319,BTC/USDT,2023-09-23
85,2023-10-22,0.16227129674821367,SOL/USDT,2023-09-23
86,2023-11-12,-0.0046637370146384,SOL/USDT,2023-10-23
87,2023-11-14,0.09730331369687192,SOL/USDT,2023-10-23
56,2023-11-15,-0.0010011739931453578,ETH/USDT,2023-10-23
18,2023-11-17,0.0268623044887284,BTC/USDT,2023-10-23
19,2023-12-12,0.0029072344630970944,BTC/USDT,2023-11-22
